ClientName,Latitude,Longitude,ClusterNumber,centroids,UniqueClusterID
Valerie Scott,11.0282908,76.9537403,4,[11.03458701 76.96008318],C_4
Austin Jackson,11.0095122,77.0026047,2,[11.00793952 77.00711148],C_2
Zachary James,10.9925095,76.9328885,1,[10.99032947 76.94906085],C_1
Jay Buck,11.0047464,76.990237,2,[11.00793952 77.00711148],C_2
Brenda Espinoza,10.9970049,76.9969167,2,[11.00793952 77.00711148],C_2
Amy Hawkins,11.0249335,76.9857843,2,[11.00793952 77.00711148],C_2
Raymond Reed,10.9459643,76.9318673,6,[10.95437625 76.97053033],C_6
Richard Davis,10.9647681,76.9873981,6,[10.95437625 76.97053033],C_6
Frederick Leon,10.9133787,76.9540715,0,[10.90632173 76.96935831],C_0
Jonathan Ryan,11.0109847,77.0083269,2,[11.00793952 77.00711148],C_2
Todd Ryan,10.9949508,76.9704031,1,[10.99032947 76.94906085],C_1
Rachel Reyes,11.0427135,76.9931955,5,[11.06430224 77.0049296 ],C_5
Lori Mack,11.0066342,77.048007,7,[11.0320363  77.05078642],C_7
Shari Robinson,11.0326944,77.0380498,7,[11.0320363  77.05078642],C_7
Danny Robinson DVM,11.0345693,76.9692366,4,[11.03458701 76.96008318],C_4
Kimberly Hamilton,10.991444,76.9337691,1,[10.99032947 76.94906085],C_1
Jason Sharp,10.9975201,76.9925687,2,[11.00793952 77.00711148],C_2
Amy Atkinson,10.9547394,76.9676496,6,[10.95437625 76.97053033],C_6
Lucas Cook,11.028728,77.037167,7,[11.0320363  77.05078642],C_7
Amanda Cole,11.0257503,76.9423884,4,[11.03458701 76.96008318],C_4
Sarah Marks,10.9904891,76.9987016,2,[11.00793952 77.00711148],C_2
Jason Webster,11.0274208,76.9046193,3,[11.02518256 76.91014288],C_3
Veronica Morgan,10.9547074,76.9920844,6,[10.95437625 76.97053033],C_6
Kirk Gonzalez,10.9945889,76.9287886,1,[10.99032947 76.94906085],C_1
Lisa Cohen,11.0277608,77.0352212,7,[11.0320363  77.05078642],C_7
Scott Williams,10.9456448,76.9738194,6,[10.95437625 76.97053033],C_6
Lauren Jones,11.0104694,77.0317662,2,[11.00793952 77.00711148],C_2
Amanda Perez,10.9941331,76.9986498,2,[11.00793952 77.00711148],C_2
Carl Robinson,11.0795642,77.0042954,5,[11.06430224 77.0049296 ],C_5
Beth Garcia,11.0487321,76.9685021,4,[11.03458701 76.96008318],C_4
Angela Cummings,11.0743815,77.0094014,5,[11.06430224 77.0049296 ],C_5
Katie Mathis,11.0085196,77.0078596,2,[11.00793952 77.00711148],C_2
Breanna Huber,11.0581205,76.9964175,5,[11.06430224 77.0049296 ],C_5
Christopher Rose,10.9620731,76.9485918,6,[10.95437625 76.97053033],C_6
Maria Figueroa,10.9654585,76.9857145,6,[10.95437625 76.97053033],C_6
Joshua Cox,11.0171532,76.9663673,4,[11.03458701 76.96008318],C_4
Troy Hill,11.0831505,76.9832656,5,[11.06430224 77.0049296 ],C_5
Jillian Lewis,11.0477186,76.9738097,4,[11.03458701 76.96008318],C_4
Sabrina Barber,11.0278357,76.9677266,4,[11.03458701 76.96008318],C_4
Shelby Harvey,11.0488101,77.0033128,5,[11.06430224 77.0049296 ],C_5
Alyssa Rivera,10.9905666,76.9651571,1,[10.99032947 76.94906085],C_1
Edward Woods,11.0453112,76.939509,4,[11.03458701 76.96008318],C_4
Theresa Marshall,11.0768342,77.0256239,5,[11.06430224 77.0049296 ],C_5
Matthew Gomez,10.9922649,76.9515633,1,[10.99032947 76.94906085],C_1
George Long,10.9910377,76.9938229,2,[11.00793952 77.00711148],C_2
Erica Harris,11.0070069,77.0294059,2,[11.00793952 77.00711148],C_2
Lynn Ballard,10.9647378,76.9879542,6,[10.95437625 76.97053033],C_6
Tara Rubio,10.9463485,76.9841099,6,[10.95437625 76.97053033],C_6
Emily Patterson,11.0294099,76.9734144,4,[11.03458701 76.96008318],C_4
Mitchell Wells,11.0209745,76.9893925,2,[11.00793952 77.00711148],C_2
Gerald Flores,10.9902778,76.9550417,1,[10.99032947 76.94906085],C_1
Christine Sweeney,11.0364254,76.9778259,4,[11.03458701 76.96008318],C_4
Whitney Smith,10.9512638,76.9725273,6,[10.95437625 76.97053033],C_6
Brian Ross,11.0343638,76.9062903,3,[11.02518256 76.91014288],C_3
Christopher Black,11.0625295,76.9908419,5,[11.06430224 77.0049296 ],C_5
Donald Fisher,11.0472325,76.988371,5,[11.06430224 77.0049296 ],C_5
Clinton Nichols,10.9935476,76.990625,2,[11.00793952 77.00711148],C_2
Rhonda Mosley,10.982078,76.9645138,1,[10.99032947 76.94906085],C_1
Lisa Lucero,10.9668174,76.9723568,6,[10.95437625 76.97053033],C_6
Jessica Booth,11.0502414,76.9996926,5,[11.06430224 77.0049296 ],C_5
Katelyn Chavez,11.0324136,76.9441553,4,[11.03458701 76.96008318],C_4
Jamie Mahoney,10.9833567,76.9420226,1,[10.99032947 76.94906085],C_1
Jason Morgan,10.9933433,76.9583594,1,[10.99032947 76.94906085],C_1
Lance Green,11.0265524,77.0004663,2,[11.00793952 77.00711148],C_2
Daniel Walsh,10.9711996,76.9111857,1,[10.99032947 76.94906085],C_1
Robert Thomas,10.9943117,76.9575161,1,[10.99032947 76.94906085],C_1
Eddie Sosa,10.9953454,77.0008142,2,[11.00793952 77.00711148],C_2
Jason Golden,10.9960041,77.0272426,2,[11.00793952 77.00711148],C_2
Richard Fox,11.0649322,77.0372783,5,[11.06430224 77.0049296 ],C_5
Erica Rowe,10.9552693,76.9806924,6,[10.95437625 76.97053033],C_6
Joseph Reynolds,11.1149141,76.9932946,5,[11.06430224 77.0049296 ],C_5
Scott Schwartz,11.0232325,76.9342206,3,[11.02518256 76.91014288],C_3
Edward Martinez MD,11.0548461,77.0250198,5,[11.06430224 77.0049296 ],C_5
James Simpson,11.0233222,76.9620889,4,[11.03458701 76.96008318],C_4
Francisco Villanueva,11.0993596,76.9961524,5,[11.06430224 77.0049296 ],C_5
Stacey Conrad,11.031514,76.9306217,3,[11.02518256 76.91014288],C_3
Andrew Rice,11.0174592,76.9798693,4,[11.03458701 76.96008318],C_4
Brian Lee,11.0204481,76.9680322,4,[11.03458701 76.96008318],C_4
Jason Reilly,11.0477819,76.9910602,5,[11.06430224 77.0049296 ],C_5
Benjamin Jones,11.0789983,76.9414619,4,[11.03458701 76.96008318],C_4
Joseph Sutton,10.9911796,76.9632481,1,[10.99032947 76.94906085],C_1
Victor Faulkner,11.0644785,76.9087072,3,[11.02518256 76.91014288],C_3
Stefanie Lowe,11.0692725,77.0116643,5,[11.06430224 77.0049296 ],C_5
Whitney Wells,11.0553177,77.0646178,7,[11.0320363  77.05078642],C_7
Daniel Martin,10.9916037,76.9645035,1,[10.99032947 76.94906085],C_1
Angela Coleman,10.9944982,76.9580907,1,[10.99032947 76.94906085],C_1
Kathy Jones,10.9877687,76.9359746,1,[10.99032947 76.94906085],C_1
David Watkins,11.0171532,76.9659262,4,[11.03458701 76.96008318],C_4
Rita Davis,10.9903407,77.0349687,2,[11.00793952 77.00711148],C_2
James Reilly,11.0620358,76.9532656,4,[11.03458701 76.96008318],C_4
Becky Harper,10.9754208,76.9959144,6,[10.95437625 76.97053033],C_6
Lori Baker,11.0635836,76.9832077,5,[11.06430224 77.0049296 ],C_5
Marilyn Wilcox,11.0462745,76.9526264,4,[11.03458701 76.96008318],C_4
Leslie Phillips,11.0107889,76.9601937,1,[10.99032947 76.94906085],C_1
Jessica Moore,11.0556273,77.0234098,5,[11.06430224 77.0049296 ],C_5
Shannon Christensen,10.9574646,76.9236001,1,[10.99032947 76.94906085],C_1
Shannon Parker,11.0313236,76.9457283,4,[11.03458701 76.96008318],C_4
Terri Miller,11.042628,76.9805477,4,[11.03458701 76.96008318],C_4
Carrie Barnes,10.995685,76.9305133,1,[10.99032947 76.94906085],C_1
Janice Rodgers,11.0532756,77.0389047,7,[11.0320363  77.05078642],C_7
Kimberly Cochran,11.0385927,76.967882,4,[11.03458701 76.96008318],C_4
David Gray,11.0135176,76.9393939,1,[10.99032947 76.94906085],C_1
Ashley Estrada,11.0402544,77.0027246,5,[11.06430224 77.0049296 ],C_5
Sue Short,11.0049517,77.0322667,2,[11.00793952 77.00711148],C_2
David Sanchez,10.9968414,76.996135,2,[11.00793952 77.00711148],C_2
Ryan Thomas,11.0310094,76.8898253,3,[11.02518256 76.91014288],C_3
Judith Johnson,10.9942175,76.992781,2,[11.00793952 77.00711148],C_2
Amy Rodriguez,10.9933337,76.9583502,1,[10.99032947 76.94906085],C_1
James Church,11.0272126,76.9049456,3,[11.02518256 76.91014288],C_3
Vanessa Salinas,10.9930682,76.9305085,1,[10.99032947 76.94906085],C_1
William Jones,10.9453323,76.9738415,6,[10.95437625 76.97053033],C_6
Steven Knox,11.0291556,76.9475621,4,[11.03458701 76.96008318],C_4
Judith Boyd,10.9921184,76.9935233,2,[11.00793952 77.00711148],C_2
Dr. Andrew Rangel DDS,11.0316212,77.0037347,2,[11.00793952 77.00711148],C_2
John King,10.9616683,76.9715113,6,[10.95437625 76.97053033],C_6
Ricky Norton,10.9670583,76.8306217,3,[11.02518256 76.91014288],C_3
Dawn Bass,10.9776061,76.9637332,1,[10.99032947 76.94906085],C_1
Eric Bailey,10.9659156,76.9482499,1,[10.99032947 76.94906085],C_1
Andrew Campbell,11.03944,76.9819717,4,[11.03458701 76.96008318],C_4
David Mann,11.0107162,76.9623968,4,[11.03458701 76.96008318],C_4
Amy Stewart,11.0071669,76.9957317,2,[11.00793952 77.00711148],C_2
Monica Bradley,11.0555731,77.0004905,5,[11.06430224 77.0049296 ],C_5
Amy White,10.9629886,76.9852164,6,[10.95437625 76.97053033],C_6
Thomas Cook,10.9915362,76.9648018,1,[10.99032947 76.94906085],C_1
Alexis Duffy,11.0096635,77.0024892,2,[11.00793952 77.00711148],C_2
Jonathan Tapia,10.9043217,76.9994916,0,[10.90632173 76.96935831],C_0
Jason Davis,10.9838491,77.0356276,2,[11.00793952 77.00711148],C_2
Betty Garcia,11.0107826,76.9249273,3,[11.02518256 76.91014288],C_3
Andrea Smith DDS,10.9031791,76.9949792,0,[10.90632173 76.96935831],C_0
Yvonne Simmons,11.1088017,77.0253618,5,[11.06430224 77.0049296 ],C_5
Brian Kim,11.0503804,77.0498087,7,[11.0320363  77.05078642],C_7
Jeffrey Mcdonald,11.072768,77.0172085,5,[11.06430224 77.0049296 ],C_5
Alfred Frederick,11.035131,76.9779138,4,[11.03458701 76.96008318],C_4
Heather Johnson,11.0275017,76.9442133,4,[11.03458701 76.96008318],C_4
Kyle Hardy,11.0341499,76.9010861,3,[11.02518256 76.91014288],C_3
Edward Brown IV,10.9114237,76.9682863,0,[10.90632173 76.96935831],C_0
Paula Henry,10.9658223,77.0020205,6,[10.95437625 76.97053033],C_6
Kayla Stevens,10.9936253,76.9881929,2,[11.00793952 77.00711148],C_2
Courtney Haley,11.0618956,76.9534206,4,[11.03458701 76.96008318],C_4
Steven Simpson Jr.,11.0203011,76.9731283,4,[11.03458701 76.96008318],C_4
Alyssa Drake,11.0333056,76.9565661,4,[11.03458701 76.96008318],C_4
Donald Newman,11.04166,77.0427917,7,[11.0320363  77.05078642],C_7
Peter Oconnell,10.9903831,76.9910047,2,[11.00793952 77.00711148],C_2
Joe Mccarthy,10.989511,76.9582337,1,[10.99032947 76.94906085],C_1
Robert Brown,11.005587,77.0474169,7,[11.0320363  77.05078642],C_7
Christopher Walsh,11.0412097,76.9487709,4,[11.03458701 76.96008318],C_4
Lance Moore,10.9952498,76.9578812,1,[10.99032947 76.94906085],C_1
Regina Garza,10.9557734,76.9724496,6,[10.95437625 76.97053033],C_6
Timothy Bullock,11.0264756,76.9013471,3,[11.02518256 76.91014288],C_3
Misty Martinez,11.0188467,77.0642107,7,[11.0320363  77.05078642],C_7
Dale Pham,11.0322415,76.9586522,4,[11.03458701 76.96008318],C_4
Leslie Farmer,11.0228031,76.9593287,4,[11.03458701 76.96008318],C_4
Martin English,11.0028331,76.992053,2,[11.00793952 77.00711148],C_2
Megan Meadows,11.0080987,76.9121556,3,[11.02518256 76.91014288],C_3
Maria Smith,11.0064315,76.9454434,1,[10.99032947 76.94906085],C_1
Donald Friedman,11.0399695,76.9362858,4,[11.03458701 76.96008318],C_4
Jay Brown,11.025244,76.936685,4,[11.03458701 76.96008318],C_4
Daniel Liu,11.041819,76.9385659,4,[11.03458701 76.96008318],C_4
William Bowers,11.0229388,76.9781986,4,[11.03458701 76.96008318],C_4
Rebecca Hammond,10.9607034,76.985434,6,[10.95437625 76.97053033],C_6
Erica Jones,10.9969169,76.9576503,1,[10.99032947 76.94906085],C_1
Ashley Campbell,11.0157417,77.0184218,2,[11.00793952 77.00711148],C_2
Carly Pacheco,11.0134385,77.0625308,7,[11.0320363  77.05078642],C_7
Jennifer Hunt,11.0311148,76.9556173,4,[11.03458701 76.96008318],C_4
Bruce Bass,10.947445,76.9694757,6,[10.95437625 76.97053033],C_6
Sean Raymond,11.0264533,77.0189734,2,[11.00793952 77.00711148],C_2
Monique Brown,10.9965658,76.9577346,1,[10.99032947 76.94906085],C_1
Lisa Herrera,10.9543,76.9927426,6,[10.95437625 76.97053033],C_6
Rhonda Harrison,11.0330546,76.8867227,3,[11.02518256 76.91014288],C_3
Christopher Davenport,11.0286637,76.9534586,4,[11.03458701 76.96008318],C_4
Thomas Carter,11.0084265,76.964126,1,[10.99032947 76.94906085],C_1
Cody Dixon,11.0045326,77.0640128,7,[11.0320363  77.05078642],C_7
Christopher Richmond,10.9954984,76.9301262,1,[10.99032947 76.94906085],C_1
Eugene Norris,10.9946011,76.9890501,2,[11.00793952 77.00711148],C_2
Amanda Ritter,11.0728107,77.0194008,5,[11.06430224 77.0049296 ],C_5
Robert Ward,11.0297772,77.0127035,2,[11.00793952 77.00711148],C_2
Thomas Cooper,11.0274433,76.965335,4,[11.03458701 76.96008318],C_4
Stephanie Logan,10.9125253,76.9556328,0,[10.90632173 76.96935831],C_0
Ryan Duncan,11.0438077,77.0466471,7,[11.0320363  77.05078642],C_7
Brian Roth,10.9605125,76.9843549,6,[10.95437625 76.97053033],C_6
Valerie Huffman,10.9543098,76.9928025,6,[10.95437625 76.97053033],C_6
Sara Cooper,10.954568,76.9922258,6,[10.95437625 76.97053033],C_6
Dr. Nicolas Allison Jr.,10.9939451,76.9572401,1,[10.99032947 76.94906085],C_1
Marisa Lowe,11.0032056,76.9974442,2,[11.00793952 77.00711148],C_2
Jacqueline Butler,10.9960941,76.9402849,1,[10.99032947 76.94906085],C_1
Jennifer Haynes,11.0198034,77.0260605,2,[11.00793952 77.00711148],C_2
Thomas Johnson,11.0278179,76.9558736,4,[11.03458701 76.96008318],C_4
Andrew Parrish,11.0235818,76.9592546,4,[11.03458701 76.96008318],C_4
Phillip Bass,10.9557986,76.9787924,6,[10.95437625 76.97053033],C_6
Lisa Pierce,10.9943203,76.9578069,1,[10.99032947 76.94906085],C_1
Carol Buchanan,10.9871391,76.9389869,1,[10.99032947 76.94906085],C_1
Kurt Ellis,11.0247268,76.9350874,3,[11.02518256 76.91014288],C_3
Krystal Marquez,11.0272152,76.9621334,4,[11.03458701 76.96008318],C_4
Susan Cole,10.9072865,77.0052889,0,[10.90632173 76.96935831],C_0
Jessica Scott,10.9365439,76.990633,6,[10.95437625 76.97053033],C_6
Miguel Johnson,10.9822118,76.9690256,1,[10.99032947 76.94906085],C_1
Jeremy Carpenter,11.0278063,76.9558127,4,[11.03458701 76.96008318],C_4
Jamie Simmons,11.0339033,76.9526759,4,[11.03458701 76.96008318],C_4
Kristin Lee,10.9039929,76.9587412,0,[10.90632173 76.96935831],C_0
Michael Diaz,11.0357768,76.9585616,4,[11.03458701 76.96008318],C_4
Toni Martin,10.9778605,77.0354058,2,[11.00793952 77.00711148],C_2
Madeline Lynch,11.0142043,76.980926,2,[11.00793952 77.00711148],C_2
Alexandria Richards,11.0179909,76.9454014,4,[11.03458701 76.96008318],C_4
Ms. Heather Day,10.9860095,76.9354608,1,[10.99032947 76.94906085],C_1
Jennifer Harding,11.0258641,76.9621701,4,[11.03458701 76.96008318],C_4
Mary Ramirez,11.0186617,76.9203183,3,[11.02518256 76.91014288],C_3
Christy Krueger,10.9624083,76.9542385,6,[10.95437625 76.97053033],C_6
Paul Wolf,11.0412606,76.9882662,5,[11.06430224 77.0049296 ],C_5
Jennifer Morris,11.0194507,76.9764833,4,[11.03458701 76.96008318],C_4
Jennifer Olsen,11.0479849,76.9928578,5,[11.06430224 77.0049296 ],C_5
Jennifer Hunter,11.0448582,76.9451762,4,[11.03458701 76.96008318],C_4
Kevin Blake,11.0192733,77.0187386,2,[11.00793952 77.00711148],C_2
Molly Allen,10.9963176,76.9318587,1,[10.99032947 76.94906085],C_1
Kristin Hodge,11.0606434,76.9079437,3,[11.02518256 76.91014288],C_3
Michael Gibson,11.0598169,76.9452632,4,[11.03458701 76.96008318],C_4
Jamie Garrett,11.0462755,76.998034,5,[11.06430224 77.0049296 ],C_5
Gregory Hicks,11.0017602,77.0407779,7,[11.0320363  77.05078642],C_7
Paula Barber,11.0244532,77.0009691,2,[11.00793952 77.00711148],C_2
Kelly Fields MD,11.0114047,77.0016674,2,[11.00793952 77.00711148],C_2
Alexis Rich,11.0175419,77.0313295,7,[11.0320363  77.05078642],C_7
John Frank,10.993463,76.9979728,2,[11.00793952 77.00711148],C_2
Lisa Thompson,11.0148013,76.9468865,4,[11.03458701 76.96008318],C_4
Kenneth Rogers,10.9969411,76.9575574,1,[10.99032947 76.94906085],C_1
Sean Johnson,11.0123351,77.0321815,2,[11.00793952 77.00711148],C_2
Justin Warren,11.0407973,76.9066011,3,[11.02518256 76.91014288],C_3
Emily Washington,11.0512598,76.9921013,5,[11.06430224 77.0049296 ],C_5
Erin Fields,10.9900266,76.9590653,1,[10.99032947 76.94906085],C_1
Brandon Johnson,11.055136,77.0223747,5,[11.06430224 77.0049296 ],C_5
Heather Clarke,10.9557104,76.9738912,6,[10.95437625 76.97053033],C_6
Laurie Williams,11.0511199,77.0668803,7,[11.0320363  77.05078642],C_7
Edwin Ramirez,10.9917213,76.9598201,1,[10.99032947 76.94906085],C_1
Nicholas Evans,10.9216072,76.9941039,0,[10.90632173 76.96935831],C_0
Michael Turner,10.9572755,76.9656802,6,[10.95437625 76.97053033],C_6
Jamie Dunlap,11.0070402,77.0489762,7,[11.0320363  77.05078642],C_7
Joseph Martinez,11.003084,77.0498355,7,[11.0320363  77.05078642],C_7
Brendan Hogan,11.0288994,76.9850545,4,[11.03458701 76.96008318],C_4
Katherine Chen,11.0457134,76.9731273,4,[11.03458701 76.96008318],C_4
Michael Carroll,11.0257927,76.9721334,4,[11.03458701 76.96008318],C_4
John Poole,11.0508544,76.9894269,5,[11.06430224 77.0049296 ],C_5
Terry Pittman,11.0279146,76.9656823,4,[11.03458701 76.96008318],C_4
Sarah Barrera,10.993525,76.9583425,1,[10.99032947 76.94906085],C_1
David Graves,10.9958475,77.0314047,2,[11.00793952 77.00711148],C_2
Alexandra Turner,11.003279,76.9908597,2,[11.00793952 77.00711148],C_2
Thomas Torres,10.9884927,76.9418146,1,[10.99032947 76.94906085],C_1
David Martinez,11.0175952,76.9745317,4,[11.03458701 76.96008318],C_4
Kristin Mason,10.9910885,76.9489404,1,[10.99032947 76.94906085],C_1
Thomas Bryant,11.0528043,77.0181855,5,[11.06430224 77.0049296 ],C_5
Guy Hall,10.987195,76.9397049,1,[10.99032947 76.94906085],C_1
Matthew Hahn,11.0071308,77.028766,2,[11.00793952 77.00711148],C_2
Emma Marks,11.0249223,77.0176919,2,[11.00793952 77.00711148],C_2
Ashley Smith,11.0610963,76.9341272,4,[11.03458701 76.96008318],C_4
Tony Ramirez,11.029499,76.962871,4,[11.03458701 76.96008318],C_4
Malik Stanton,11.0401341,76.9374786,4,[11.03458701 76.96008318],C_4
Derrick Jones,11.0316859,76.9632347,4,[11.03458701 76.96008318],C_4
Ashley Hayden,11.0169757,76.9856749,2,[11.00793952 77.00711148],C_2
Thomas Weaver,10.9649593,77.0056238,6,[10.95437625 76.97053033],C_6
James Craig,11.0373561,76.9798989,4,[11.03458701 76.96008318],C_4
Kurt Brown,10.968055,76.9724991,6,[10.95437625 76.97053033],C_6
Daniel Malone,11.0167452,76.9800871,4,[11.03458701 76.96008318],C_4
Brent Johnson,11.0168369,76.976023,4,[11.03458701 76.96008318],C_4
Anthony Anderson,10.9555864,76.9725477,6,[10.95437625 76.97053033],C_6
Edgar Allen,11.0299043,76.8911443,3,[11.02518256 76.91014288],C_3
Susan Mora,11.0342034,77.0038919,2,[11.00793952 77.00711148],C_2
Alexis Mccormick,10.9905071,76.9940046,2,[11.00793952 77.00711148],C_2
Rachael Hernandez,10.9875118,77.0005048,2,[11.00793952 77.00711148],C_2
Timothy Fitzpatrick,10.9952013,76.9580514,1,[10.99032947 76.94906085],C_1
David Heath,10.9989689,77.0372618,2,[11.00793952 77.00711148],C_2
Luke Horton,11.0272723,76.9143095,3,[11.02518256 76.91014288],C_3
Nathan Thompson,10.9996962,76.9524899,1,[10.99032947 76.94906085],C_1
Patrick Rose,10.9792464,77.0244193,2,[11.00793952 77.00711148],C_2
Alicia White DDS,11.009509,77.0296724,2,[11.00793952 77.00711148],C_2
Samuel Wilkins,11.0329525,77.0055557,2,[11.00793952 77.00711148],C_2
Erica Gonzalez,11.0156756,76.9637659,4,[11.03458701 76.96008318],C_4
Juan Miller,10.9962257,76.9462157,1,[10.99032947 76.94906085],C_1
Collin Best,11.0282657,76.9415239,4,[11.03458701 76.96008318],C_4
Aaron Jensen,11.0298394,76.9858394,4,[11.03458701 76.96008318],C_4
Debbie Carter,10.9860797,76.9367458,1,[10.99032947 76.94906085],C_1
Christopher Bishop,10.9560322,76.9690829,6,[10.95437625 76.97053033],C_6
Tyler Burns,11.028518,76.994083,2,[11.00793952 77.00711148],C_2
Lisa Kent,11.0293943,76.9846418,4,[11.03458701 76.96008318],C_4
Stacy Mitchell,10.9877501,76.9368345,1,[10.99032947 76.94906085],C_1
Shelby Barker,11.0069779,77.0286965,2,[11.00793952 77.00711148],C_2
Amy Love,11.0121878,77.0193832,2,[11.00793952 77.00711148],C_2
Frederick Nelson,11.0194209,77.0226011,2,[11.00793952 77.00711148],C_2
Ashley Brown,11.0316975,76.9395677,4,[11.03458701 76.96008318],C_4
Kyle Silva,11.0293917,76.8827533,3,[11.02518256 76.91014288],C_3
Belinda Carlson,10.9911743,76.9551426,1,[10.99032947 76.94906085],C_1
Sarah Chung,11.0988348,77.0171979,5,[11.06430224 77.0049296 ],C_5
Dale Becker,11.0067154,76.9518461,1,[10.99032947 76.94906085],C_1
Felicia Johns,10.9804,77.0331482,2,[11.00793952 77.00711148],C_2
Scott Smith,11.0347298,77.0046481,2,[11.00793952 77.00711148],C_2
Anthony Garrett,11.032531,76.9107432,3,[11.02518256 76.91014288],C_3
Alice Wilson,11.0255902,76.9395993,4,[11.03458701 76.96008318],C_4
John Collins,10.9598577,76.9715626,6,[10.95437625 76.97053033],C_6
Rodney Moran,10.9978393,77.0349383,2,[11.00793952 77.00711148],C_2
Michelle Conner DVM,10.9678434,76.9831891,6,[10.95437625 76.97053033],C_6
Lauren Harrison,10.9936786,76.9575368,1,[10.99032947 76.94906085],C_1
Deborah Griffin,11.027098,76.9644875,4,[11.03458701 76.96008318],C_4
Jennifer Fields,10.9959853,77.0272289,2,[11.00793952 77.00711148],C_2
Jack Carter,11.0022914,77.0279713,2,[11.00793952 77.00711148],C_2
Juan Smith,11.0017005,76.9917736,2,[11.00793952 77.00711148],C_2
Kevin Hudson,11.0135048,76.9555545,4,[11.03458701 76.96008318],C_4
William Mercer,11.0103431,76.9908859,2,[11.00793952 77.00711148],C_2
Gregory Wilson,11.0450795,76.9472477,4,[11.03458701 76.96008318],C_4
Tammy Morales,10.9429156,76.9529718,6,[10.95437625 76.97053033],C_6
Karen Dean,11.0092892,77.0061856,2,[11.00793952 77.00711148],C_2
Audrey Anderson,10.988302,76.9703836,1,[10.99032947 76.94906085],C_1
Theresa Odonnell,11.0880375,77.0077189,5,[11.06430224 77.0049296 ],C_5
Amanda Reese,11.0449934,76.9404911,4,[11.03458701 76.96008318],C_4
Patricia Flowers,11.0153672,76.9523352,4,[11.03458701 76.96008318],C_4
James Roberts,11.0531796,77.0389234,7,[11.0320363  77.05078642],C_7
Arthur Blake,11.0144278,76.9828477,2,[11.00793952 77.00711148],C_2
Linda Fernandez,11.0385734,76.9249693,3,[11.02518256 76.91014288],C_3
Tina Yang,11.0215,77.022125,2,[11.00793952 77.00711148],C_2
Jill Golden,11.0246821,77.000696,2,[11.00793952 77.00711148],C_2
Beth Johnson,11.0451274,76.9403928,4,[11.03458701 76.96008318],C_4
Alyssa Michael,10.989958,76.9571066,1,[10.99032947 76.94906085],C_1
Charles Blake,11.0066171,77.0131464,2,[11.00793952 77.00711148],C_2
Frank Jackson,11.0284596,77.0337223,7,[11.0320363  77.05078642],C_7
Courtney Olson MD,11.0285008,76.9960578,2,[11.00793952 77.00711148],C_2
Rebecca Paul,11.0295184,76.9628297,4,[11.03458701 76.96008318],C_4
John Taylor,11.0203666,77.0032458,2,[11.00793952 77.00711148],C_2
Paula Bauer,10.9955243,77.0010401,2,[11.00793952 77.00711148],C_2
Matthew Rodriguez,10.9967119,76.957712,1,[10.99032947 76.94906085],C_1
Kenneth Lyons,10.8279494,76.7326108,0,[10.90632173 76.96935831],C_0
Blake Copeland,11.0601445,76.9444771,4,[11.03458701 76.96008318],C_4
Scott Clark,11.0173186,76.9117356,3,[11.02518256 76.91014288],C_3
Kevin Fleming,11.0216519,76.9513484,4,[11.03458701 76.96008318],C_4
Hannah Hayes,11.0164599,76.9830219,2,[11.00793952 77.00711148],C_2
Alexis Turner,10.9592931,76.9754678,6,[10.95437625 76.97053033],C_6
