ClientName,Latitude,Longitude
Brian Lee,11.0204481,76.9680322
Jason Reilly,11.0477819,76.9910602
Benjamin Jones,11.0789983,76.9414619
Joseph Sutton,10.9911796,76.9632481
Victor Faulkner,11.0644785,76.9087072
Stefanie Lowe,11.0692725,77.0116643
Whitney Wells,11.0553177,77.0646178
Daniel Martin,10.9916037,76.9645035
Angela Coleman,10.9944982,76.9580907
Kathy Jones,10.9877687,76.9359746
David Watkins,11.0171532,76.9659262
Rita Davis,10.9903407,77.0349687
James Reilly,11.0620358,76.9532656
Becky Harper,10.9754208,76.9959144
Lori Baker,11.0635836,76.9832077
Marilyn Wilcox,11.0462745,76.9526264
Leslie Phillips,11.0107889,76.9601937
Jessica Moore,11.0556273,77.0234098
Shannon Christensen,10.9574646,76.9236001
Shannon Parker,11.0313236,76.9457283
Terri Miller,11.042628,76.9805477
Carrie Barnes,10.995685,76.9305133
Janice Rodgers,11.0532756,77.0389047
Kimberly Cochran,11.0385927,76.967882
David Gray,11.0135176,76.9393939
Ashley Estrada,11.0402544,77.0027246
Sue Short,11.0049517,77.0322667
David Sanchez,10.9968414,76.996135
Ryan Thomas,11.0310094,76.8898253
Judith Johnson,10.9942175,76.992781
Amy Rodriguez,10.9933337,76.9583502
James Church,11.0272126,76.9049456
Vanessa Salinas,10.9930682,76.9305085
William Jones,10.9453323,76.9738415
Steven Knox,11.0291556,76.9475621
Judith Boyd,10.9921184,76.9935233
Dr. Andrew Rangel DDS,11.0316212,77.0037347
John King,10.9616683,76.9715113
Ricky Norton,10.9670583,76.8306217
Dawn Bass,10.9776061,76.9637332
Eric Bailey,10.9659156,76.9482499
Andrew Campbell,11.03944,76.9819717
David Mann,11.0107162,76.9623968
Amy Stewart,11.0071669,76.9957317
Monica Bradley,11.0555731,77.0004905
Amy White,10.9629886,76.9852164
Thomas Cook,10.9915362,76.9648018
Alexis Duffy,11.0096635,77.0024892
Jonathan Tapia,10.9043217,76.9994916
Jason Davis,10.9838491,77.0356276
Betty Garcia,11.0107826,76.9249273
Andrea Smith DDS,10.9031791,76.9949792
Yvonne Simmons,11.1088017,77.0253618
Brian Kim,11.0503804,77.0498087
Jeffrey Mcdonald,11.072768,77.0172085
Alfred Frederick,11.035131,76.9779138
Heather Johnson,11.0275017,76.9442133
Kyle Hardy,11.0341499,76.9010861
Edward Brown IV,10.9114237,76.9682863
Paula Henry,10.9658223,77.0020205
Kayla Stevens,10.9936253,76.9881929
Courtney Haley,11.0618956,76.9534206
Steven Simpson Jr.,11.0203011,76.9731283
Alyssa Drake,11.0333056,76.9565661
Donald Newman,11.04166,77.0427917
Peter Oconnell,10.9903831,76.9910047
Joe Mccarthy,10.989511,76.9582337
Robert Brown,11.005587,77.0474169
Christopher Walsh,11.0412097,76.9487709
Lance Moore,10.9952498,76.9578812
Regina Garza,10.9557734,76.9724496
Timothy Bullock,11.0264756,76.9013471
Misty Martinez,11.0188467,77.0642107
Dale Pham,11.0322415,76.9586522
Leslie Farmer,11.0228031,76.9593287
Martin English,11.0028331,76.992053
Megan Meadows,11.0080987,76.9121556
Maria Smith,11.0064315,76.9454434
Donald Friedman,11.0399695,76.9362858
Jay Brown,11.025244,76.936685
Daniel Liu,11.041819,76.9385659
William Bowers,11.0229388,76.9781986
Rebecca Hammond,10.9607034,76.985434
Erica Jones,10.9969169,76.9576503
Ashley Campbell,11.0157417,77.0184218
Carly Pacheco,11.0134385,77.0625308
Jennifer Hunt,11.0311148,76.9556173
Bruce Bass,10.947445,76.9694757
Sean Raymond,11.0264533,77.0189734
Monique Brown,10.9965658,76.9577346
Lisa Herrera,10.9543,76.9927426
Rhonda Harrison,11.0330546,76.8867227
Christopher Davenport,11.0286637,76.9534586
Thomas Carter,11.0084265,76.964126
Cody Dixon,11.0045326,77.0640128
Christopher Richmond,10.9954984,76.9301262
Eugene Norris,10.9946011,76.9890501
Amanda Ritter,11.0728107,77.0194008
Robert Ward,11.0297772,77.0127035
Thomas Cooper,11.0274433,76.965335
Stephanie Logan,10.9125253,76.9556328
Ryan Duncan,11.0438077,77.0466471
Brian Roth,10.9605125,76.9843549
Valerie Huffman,10.9543098,76.9928025
Sara Cooper,10.954568,76.9922258
Dr. Nicolas Allison Jr.,10.9939451,76.9572401
Marisa Lowe,11.0032056,76.9974442
Jacqueline Butler,10.9960941,76.9402849
Jennifer Haynes,11.0198034,77.0260605
Thomas Johnson,11.0278179,76.9558736
Andrew Parrish,11.0235818,76.9592546
Phillip Bass,10.9557986,76.9787924
Lisa Pierce,10.9943203,76.9578069
Carol Buchanan,10.9871391,76.9389869
Kurt Ellis,11.0247268,76.9350874
Krystal Marquez,11.0272152,76.9621334
Susan Cole,10.9072865,77.0052889
Jessica Scott,10.9365439,76.990633
Miguel Johnson,10.9822118,76.9690256
Jeremy Carpenter,11.0278063,76.9558127
Jamie Simmons,11.0339033,76.9526759
Kristin Lee,10.9039929,76.9587412
Michael Diaz,11.0357768,76.9585616
Toni Martin,10.9778605,77.0354058
Madeline Lynch,11.0142043,76.980926
Alexandria Richards,11.0179909,76.9454014
Ms. Heather Day,10.9860095,76.9354608
Jennifer Harding,11.0258641,76.9621701
Mary Ramirez,11.0186617,76.9203183
Christy Krueger,10.9624083,76.9542385
Paul Wolf,11.0412606,76.9882662
Jennifer Morris,11.0194507,76.9764833
Jennifer Olsen,11.0479849,76.9928578
Jennifer Hunter,11.0448582,76.9451762
Kevin Blake,11.0192733,77.0187386
Molly Allen,10.9963176,76.9318587
Kristin Hodge,11.0606434,76.9079437
Michael Gibson,11.0598169,76.9452632
Jamie Garrett,11.0462755,76.998034
Gregory Hicks,11.0017602,77.0407779
Paula Barber,11.0244532,77.0009691
Kelly Fields MD,11.0114047,77.0016674
Alexis Rich,11.0175419,77.0313295
John Frank,10.993463,76.9979728
Lisa Thompson,11.0148013,76.9468865
Kenneth Rogers,10.9969411,76.9575574
Sean Johnson,11.0123351,77.0321815
Justin Warren,11.0407973,76.9066011
Emily Washington,11.0512598,76.9921013
Erin Fields,10.9900266,76.9590653
Brandon Johnson,11.055136,77.0223747
Heather Clarke,10.9557104,76.9738912
Laurie Williams,11.0511199,77.0668803
Edwin Ramirez,10.9917213,76.9598201
Nicholas Evans,10.9216072,76.9941039
Michael Turner,10.9572755,76.9656802
Jamie Dunlap,11.0070402,77.0489762
Joseph Martinez,11.003084,77.0498355
Brendan Hogan,11.0288994,76.9850545
Katherine Chen,11.0457134,76.9731273
Michael Carroll,11.0257927,76.9721334
John Poole,11.0508544,76.9894269
Terry Pittman,11.0279146,76.9656823
Sarah Barrera,10.993525,76.9583425
David Graves,10.9958475,77.0314047
Alexandra Turner,11.003279,76.9908597
Thomas Torres,10.9884927,76.9418146
David Martinez,11.0175952,76.9745317
Kristin Mason,10.9910885,76.9489404
Thomas Bryant,11.0528043,77.0181855
Guy Hall,10.987195,76.9397049
Matthew Hahn,11.0071308,77.028766
Emma Marks,11.0249223,77.0176919
Ashley Smith,11.0610963,76.9341272
Tony Ramirez,11.029499,76.962871
Malik Stanton,11.0401341,76.9374786
Derrick Jones,11.0316859,76.9632347
Ashley Hayden,11.0169757,76.9856749
Thomas Weaver,10.9649593,77.0056238
James Craig,11.0373561,76.9798989
Kurt Brown,10.968055,76.9724991
Daniel Malone,11.0167452,76.9800871
Brent Johnson,11.0168369,76.976023
Anthony Anderson,10.9555864,76.9725477
Edgar Allen,11.0299043,76.8911443
Susan Mora,11.0342034,77.0038919
Alexis Mccormick,10.9905071,76.9940046
Rachael Hernandez,10.9875118,77.0005048
Timothy Fitzpatrick,10.9952013,76.9580514
David Heath,10.9989689,77.0372618
Luke Horton,11.0272723,76.9143095
Nathan Thompson,10.9996962,76.9524899
Patrick Rose,10.9792464,77.0244193
Alicia White DDS,11.009509,77.0296724
Samuel Wilkins,11.0329525,77.0055557
Erica Gonzalez,11.0156756,76.9637659
Juan Miller,10.9962257,76.9462157
Collin Best,11.0282657,76.9415239
Aaron Jensen,11.0298394,76.9858394
Debbie Carter,10.9860797,76.9367458
Christopher Bishop,10.9560322,76.9690829
Tyler Burns,11.028518,76.994083
Lisa Kent,11.0293943,76.9846418
Stacy Mitchell,10.9877501,76.9368345
Shelby Barker,11.0069779,77.0286965
Amy Love,11.0121878,77.0193832
Frederick Nelson,11.0194209,77.0226011
Ashley Brown,11.0316975,76.9395677
Kyle Silva,11.0293917,76.8827533
Belinda Carlson,10.9911743,76.9551426
Sarah Chung,11.0988348,77.0171979
Dale Becker,11.0067154,76.9518461
Felicia Johns,10.9804,77.0331482
Scott Smith,11.0347298,77.0046481
Anthony Garrett,11.032531,76.9107432
Alice Wilson,11.0255902,76.9395993
John Collins,10.9598577,76.9715626
Rodney Moran,10.9978393,77.0349383
Michelle Conner DVM,10.9678434,76.9831891
Lauren Harrison,10.9936786,76.9575368
Deborah Griffin,11.027098,76.9644875
Jennifer Fields,10.9959853,77.0272289
Jack Carter,11.0022914,77.0279713
Juan Smith,11.0017005,76.9917736
Kevin Hudson,11.0135048,76.9555545
William Mercer,11.0103431,76.9908859
Gregory Wilson,11.0450795,76.9472477
Tammy Morales,10.9429156,76.9529718
Karen Dean,11.0092892,77.0061856
Audrey Anderson,10.988302,76.9703836
Theresa Odonnell,11.0880375,77.0077189
Amanda Reese,11.0449934,76.9404911
Patricia Flowers,11.0153672,76.9523352
James Roberts,11.0531796,77.0389234
Arthur Blake,11.0144278,76.9828477
Linda Fernandez,11.0385734,76.9249693
Tina Yang,11.0215,77.022125
Jill Golden,11.0246821,77.000696
Beth Johnson,11.0451274,76.9403928
Alyssa Michael,10.989958,76.9571066
Charles Blake,11.0066171,77.0131464
Frank Jackson,11.0284596,77.0337223
Courtney Olson MD,11.0285008,76.9960578
Rebecca Paul,11.0295184,76.9628297
John Taylor,11.0203666,77.0032458
Paula Bauer,10.9955243,77.0010401
Matthew Rodriguez,10.9967119,76.957712
Kenneth Lyons,10.8279494,76.7326108
Blake Copeland,11.0601445,76.9444771
Scott Clark,11.0173186,76.9117356
Kevin Fleming,11.0216519,76.9513484
Hannah Hayes,11.0164599,76.9830219
Alexis Turner,10.9592931,76.9754678
Timothy Cain,11.0975286,77.0193787
Mr. Adam Porter,10.9879799,76.9383615
Ryan Mendoza,11.0234173,76.9779665
Jaime Daugherty,10.994194,76.957504
Christopher Patrick,11.0145291,76.9806884
Brian Henry,10.9711096,76.8908649
Frank Thomas,11.0566675,77.0199087
Sabrina Jackson,11.0831643,76.9833038
Sally Shaw,11.0095936,77.0536312
Eric Collier,11.0438049,77.0466503
Paul Brown,11.0782455,77.0405281
Justin Baker,10.9377766,76.9515928
Howard Moreno,11.0344871,76.9063708
Jessica Lloyd,10.9677749,77.006545
Francisco Hunter,11.0214031,76.9171753
Timothy Hoover,11.0224846,76.8873753
John Perry,10.9961022,76.956083
Deborah Morrow,11.0159781,76.9096862
Mackenzie Adkins,10.993343,76.9583538
Sylvia Dunn,10.9948976,76.9313561
Richard Rojas,11.000735,77.0292767
Andrew Burns,11.0166238,77.0631066
Allison Brock,11.0078881,77.0150425
Cody Day,11.0077828,77.0285317
Cynthia Richardson,10.9821603,76.9668463
David Hawkins,10.96635,76.9505496
Justin Rollins,11.0162376,76.9247254
Ryan Reed,11.0007775,76.9524243
Rachel Gates,10.9981567,77.0323567
Juan Carter,10.9143163,76.9484059
Natalie Lee,11.0224163,76.9594727
Robert Foster,11.0624533,76.9910683
Caitlin Rodriguez,11.0557502,77.0011147
Matthew Bailey,11.0728634,77.017344
Stacey Scott,11.0214511,77.0004002
Gloria Martin,10.90822,76.9658518
Lori Smith,11.0395733,76.9323191
Jessica Compton,11.0395947,76.9352515
Patricia Petersen,11.0553336,77.0258506
Michael Smith,10.9909409,76.9567143
Scott Strickland,11.0447117,76.9449346
Amber Sanchez,11.0496691,77.0387531
Alex Massey,11.0504254,77.0181027
Brian Brooks,11.0378129,76.8915592
Gregory Harris,11.017795,76.9775036
Gregory Hood,11.0241566,76.995459
Jordan Ayala,11.0233689,76.9433315
Crystal Schmitt,11.0175105,76.9217662
Anne Schmidt,11.1130682,77.0322398
Pamela Nelson,11.0366369,76.9735534
Teresa Carey,11.0104833,76.9911448
Shelley Phillips,11.0077663,77.0151041
Dean Ballard,11.0230245,76.9434025
Richard Robinson,10.9016378,76.9404188
Diana Ross,11.0206705,77.0000288
Molly Martinez,11.1132664,77.0160473
Paige Sharp MD,11.0594775,76.9333545
Sarah Simpson,10.9970969,77.0067961
Scott Stevens,11.0071217,77.0337033
Sheila Romero,10.9658196,76.972264
Linda Gonzalez,10.9968037,76.9514959
Martin Harrison,11.0323755,76.9441221
Stephen Griffin,10.9556208,76.9660327
Eric Romero,10.9546046,76.9538303
Susan Lopez,11.042188,77.0028215
Sarah Walters,11.0256054,76.9652958
Brian Morrison,11.02435,76.9670167
John Luna,10.9438869,76.9333667
Mark Waters,10.9911959,76.9632262
Bradley Davenport,10.9878564,76.9714859
Bobby Gallegos,10.9922905,76.9584835
Henry Mcclure,10.9856195,76.9642896
Reginald Johnston,11.0392654,76.9899358
Theresa Doyle,10.9962609,76.9579706
Jessica Boyer,11.0405609,76.9778247
Margaret Smith,11.0135167,77.0630046
Zachary Anderson,11.0227645,77.0072442
Kari West,10.9874529,76.9714106
Anthony Fuller,11.0402387,76.9495271
Pamela Delacruz,11.0483198,77.0012396
Marcus Cooper,10.9482156,76.9356561
Jennifer Riggs,11.0319275,76.9751972
Nicholas Rogers,10.990498,76.9990646
Michael Schroeder,11.029703,76.999758
David Carr,11.0611051,76.9952502
Kelly Stokes,10.9999324,76.9541688
Dr. Tony Martinez,11.042914,76.9604384
Andrew Long,10.9939569,76.9880774
Timothy Jackson,11.0106035,77.0094851
James Henderson PhD,11.0055511,76.9921698
Matthew Wood,11.0070386,77.0259007
Paul Parker,10.9527304,76.9711811
Gabrielle Turner,10.8826807,76.9951231
Jon Pruitt,11.003705,77.0476399
Michael Stone,11.030175,76.9631238
Michael Ware,11.0310506,77.0009125
Taylor Thompson,11.05461,77.0631801
Paul Fischer,10.972236,76.967197
Taylor Guzman,10.9587514,76.9264239
Jesse Rogers,11.1019378,76.9944875
Melissa Rogers,10.9486014,76.9793397
Charles Henderson,10.8822105,76.9954472
Rebecca Noble,10.9674388,76.9468937
Jacqueline Pierce,11.0379554,76.9732083
Jessica Smith,11.0276685,77.0142554
Jeffrey Jordan,10.9622418,76.9919379
Troy Johnson,11.0296719,76.8910963
Tim Bradford,11.0584238,77.0054338
Jaclyn Hall MD,10.9530147,76.963244
Paula Braun,10.9559009,76.9894385
Lance Reynolds,10.9430807,76.9411275
Sean Figueroa,10.9474209,76.928835
Daniel Lambert,11.0283793,76.9010941
Melissa Campbell,10.9526612,76.9794422
Stephen Bass,11.0601396,76.9971888
John Gill,11.0295772,76.9652061
Barbara Wilson,11.0338826,76.9343401
Jennifer Potter,11.1124484,77.0297919
Gina Robinson,10.9590062,76.9731206
Karen Medina,10.9633757,76.9018818
Angela Castillo,11.1030983,77.0100742
Jonathan Rodriguez,10.991839,76.9496949
Kenneth Williams,11.0078881,77.0150427
Zoe Walker,11.0650318,76.9406527
Vicki Boyd,11.0344564,76.9687903
Michael Castro,11.0259618,76.9605495
John Reed,11.0220997,77.0220031
Timothy Moore,10.9948855,76.9582831
Marco Dominguez,11.030457,76.985859
Maria Mosley,10.9753094,76.9945534
Robert Gill,11.0343509,76.9566637
Angela Roy,10.9916384,76.9429545
Fernando Perez,11.0476874,76.9562018
Kenneth Nelson,11.1013156,76.9900464
Grant Sanchez,11.0065348,76.9917818
Patricia Miller,10.9949562,76.9591607
Heidi Humphrey,10.9245912,76.9833557
Jackie Munoz,11.0344482,76.9677129
Jennifer Cervantes,10.9516977,76.980331
Rachel Cole,11.0347926,77.0050972
Dr. Sergio Morse,11.0193337,77.014274
Amanda Holmes,11.0078833,77.0149794
Kathleen Stokes,10.9868385,76.9403066
Amy Arias,11.0095356,76.9926441
Amanda Bishop,11.012528,77.009195
Ronald Bowen,11.0072335,76.9129914
Michael Harvey,11.0015298,76.9539768
Jason Huber,11.0737253,77.0118838
Charles Cain,11.0782119,77.038094
Kyle Benitez,10.9660878,77.0028917
Yvonne Walker,11.0438439,76.9420303
Erika Perez,10.9178973,76.9484008
Eric Durham,11.0476577,76.9717855
Michael Black,11.0268331,76.9881293
Karen Jimenez,11.0171862,77.0430817
Randy Nguyen,10.9961381,77.0008276
Laura Ford,11.063883,77.0372272
Daniel Villa,11.0434624,76.9480003
Jeffrey Davis DVM,11.005912,76.912943
Jason Berg,11.0268142,76.9482383
James Lynn,11.0368619,76.891195
Travis Lam,10.9287983,76.9850488
Kristin Clay,10.990371,76.9592323
April Huang,10.9563215,76.9708778
Marissa Young,10.992828,76.9421619
Michael Hughes,10.9587288,76.9718569
Dana Barr,11.0272173,76.961683
William Goodwin,10.9933606,76.958384
Joseph Clark,10.9452908,76.9833458
Thomas Olson,11.0622378,77.0272655
Ronald Fernandez,10.9941237,76.957634
Christopher Moran,11.0579911,77.0052589
Dustin Gill,10.9674852,76.8604011
Tammy Glass,11.025314,76.9470307
Michelle Blair,10.9483671,76.9355448
Michele Huff,11.0305966,76.9529145
Dawn Thomas,11.0792212,77.0028797
Kimberly Velasquez,11.0343786,76.9562191
Briana Perez,11.0297226,76.9698985
Jessica Morrison,11.0033635,76.9980598
Kelli Porter,10.9905838,76.9412761
Peggy Thompson,10.9534446,76.9898299
Erin Malone,11.05047,77.0388333
Karen Carter,11.0358188,76.9811141
Colleen Mccall,10.9462097,76.9327967
Christopher Hunter,11.0394111,76.928835
Victoria Bailey,11.009405,77.0291733
Tammy Zhang,11.0357384,76.97823
Mark Cruz,10.9994983,76.9516141
Dr. Jacob Cooper,11.0188771,76.9670557
Brian Brown,11.030423,76.8917319
George George,10.9598711,76.9812041
Robert Rowe,10.9922609,76.9586309
Tracy Ross,11.0116102,77.0075296
Matthew Richards,11.0045948,76.9955566
Victoria Mitchell,11.027533,77.0339234
Brandon Ford,11.0300372,76.9530338
Lori Nelson,10.9943772,76.9581175
Marie Goodman,11.0768055,77.0025272
Roberta Short,11.0151787,76.9284748
Cynthia Jackson,11.002952,77.0426139
Bailey Martinez,11.02836,76.9326189
Luke Gilmore,11.0369676,76.9613881
Amber Duran,11.0500236,77.014039
Arthur Benjamin,11.075689,77.0024032
John Rice,11.0283504,76.9577643
Mrs. Kristen Cook,10.9537298,76.9729167
Michael Gomez,11.0653542,77.0005136
April Collins,11.0171601,76.965551
Andrew Bowers,10.9938529,76.9575417
Roger Brown,11.0343885,77.004262
Sandra Miles,10.9906572,76.9577104
Jessica Price,10.9601878,76.972609
Matthew Williams,10.9653161,76.9857302
Jennifer Smith,11.0307151,76.9528608
Cindy Patel,11.0595916,76.9459112
Victoria Lopez,11.0040879,76.9548557
Randall Jefferson,10.9066917,76.9652634
Richard Kelley,10.9549078,76.9697075
Stephen Gallagher,11.0078991,77.0150124
Angela Hernandez,10.9715118,76.9129018
Anthony Hall,11.0541609,77.0649329
Heidi Cruz,11.0551108,77.0646452
Sandra Hebert,10.9400015,76.9728612
Christopher Smith,11.0194266,76.9626426
Joseph Wells,11.0198078,77.0186486
Cynthia Watson,11.02291,76.9781285
James Mccullough,11.0584699,77.0237488
Annette Carpenter,11.004706,77.0507863
Christopher Adkins,10.9860096,76.9394825
Lauren Stewart,11.020995,77.06432
Eric Quinn,11.0568831,77.0150128
Alan Parker,10.9597348,76.9806223
Kathleen Smith,10.9566382,76.9008176
James Byrd,11.0503799,77.0496999
Felicia Williams,11.0642917,76.9438217
Jake Quinn,11.0275303,77.0004217
Michael Duncan,10.911778,77.0027858
Steve Sanders,11.0154302,76.9841466
Rachel Smith,10.9601181,76.9714778
Brandon Taylor,11.0291015,76.8944669
Donna Parker,11.0621366,77.0375561
Hunter Woodard,11.0063694,77.0468547
Teresa Burton,11.0331211,76.9914471
Miranda Warren,11.012246,76.9241781
Nicholas Pacheco,10.9930173,76.9324814
Jason Walker,10.9992633,77.0562806
Evelyn Maxwell,10.9910592,76.994569
David Moore,11.0346421,76.9623256
David Andrade,10.9909268,76.9939366
Michael Kelly,11.0348017,76.9356008
Joshua Bowers,11.0347719,76.9176694
Peter Herrera,11.0522005,77.0145981
Edward Murray,11.0132821,76.9422992
Shannon Perez,11.0275495,76.9948251
Michelle Arnold,10.9912423,76.9527983
Mary Campbell,11.0472594,76.9741975
Mary Fox,11.0307595,76.9457061
Randy Collins,11.0525001,77.0145599
Sarah Lewis,10.9607462,76.9724566
Matthew Collins,11.0451111,77.0004476
Amy Wright,10.9875676,76.9368199
Matthew Clarke,10.9624686,76.9743867
Stanley James,11.0094927,77.0256913
Wesley Mathews,11.0342327,76.9744573
Caleb Hayes,10.9425803,76.9784906
Rhonda Johnson,11.0314358,76.9443094
Sheila Rivera,11.0255858,76.9864307
Ashley Bell,10.9935871,76.9935584
Angela Hughes,11.0196321,76.9686871
Roger Meza,11.0581588,76.9144276
Phillip Ferguson,11.0116067,77.0243294
Kathryn Cabrera,10.996581,76.9497097
David Wolfe,11.0793378,77.0028215
Tonya Wright,10.9946175,76.9748103
Linda Miller,10.9605348,76.954628
Brandon Lewis,10.9967184,76.9473379
Kara Thompson,10.9933537,76.9583627
Donna Giles,11.0197042,77.026367
Becky Long,10.9961291,76.957792
Kevin Richards,11.0300538,76.8967762
Jill Carter,11.0337918,76.934099
William Lynch,10.9898225,76.9572402
Cameron Warner,10.9645754,76.9880408
Erin Ibarra,10.9654515,76.8268663
Brett Wagner,11.0768727,77.0026914
Kathy Collier,10.9930914,76.9435008
Theresa Garcia,11.0233078,76.9598524
Paula Johnston,11.0490759,77.0001421
Chelsea Rodriguez,11.0527399,77.0735848
Steven Osborne,11.0255956,76.9723784
Hayley Wilson,11.015683,76.9839721
Michelle Dillon,10.9963212,76.9554633
Erik Lewis,11.0139529,77.0181199
Dylan Freeman,10.9436294,76.9335668
Troy Huerta,10.9588416,76.9719101
Jennifer Miller,10.9047754,76.9635959
Nancy Sanchez,11.0816994,77.001681
Haley Phillips,11.0541534,77.0423891
Shaun Fields,11.031974,76.9443472
Justin Hicks,11.1035502,77.0091802
Elizabeth Arias,11.0041925,77.0484541
Maria Blake,11.0243478,76.9840786
Brittany Taylor,10.9944173,76.9276035
Alexandria Mcpherson,11.0265935,77.0007337
Carlos Anderson,10.94311,76.9568132
Sara Roach,11.0571729,77.0415173
Kevin Rivera,11.0619393,76.9949631
Ernest Hansen,11.0407797,76.9838441
Kenneth Henry,10.9612431,76.9704532
Andrea Jones,10.9621052,76.900949
Luis Nguyen,11.0167677,76.9652005
Chad Munoz,10.9570293,76.972165
David Cooper,11.0573881,76.9960701
Mr. David Lee,11.0178654,76.9211626
Rebecca Sutton,11.0469258,76.9979476
Dennis Blanchard,11.0306974,76.9637383
Crystal Carlson,10.9904526,76.9608118
Katherine Conner,10.9958771,76.9871152
Ryan Alvarado,11.0041133,76.983745
Matthew Garner,11.0335568,76.9438331
Sarah Valencia,11.0355006,76.9340528
Mark Wilson,11.0162745,76.9212509
Craig Werner,11.0094114,77.0286306
Brenda Vega,10.9648489,76.9871052
Michael Lopez,11.0160533,77.0234
Carolyn Campbell,11.0549145,76.9924064
Natalie Romero,10.9572238,76.9655667
Anne Trevino,11.032544,76.8875157
Steven Price,11.0341929,76.9574097
Michael Ward,10.9505078,76.9540188
Austin Hayes,10.9849697,76.9368448
Richard Brown,11.0482905,76.9591385
Jennifer Bennett,11.0247768,76.9351478
Crystal Bailey,10.9436342,76.952962
Nathan Bowen,10.989935,76.9592951
Sandy Molina,11.0582665,76.9969695
Emily Garcia,11.0528768,77.0388144
Paul Jackson,11.0377781,76.9844851
Michele Barr,11.0437778,76.9236993
Jacqueline Stewart,11.0057904,76.992152
